State,Year,Predicted
A&N Islands,2023,217.38844079757317
A&N Islands,2024,247.99165162513123
A&N Islands,2025,218.88744136935415
A&N Islands,2026,240.14457626253719
A&N Islands,2027,200.36800092958728
A&N Islands,2028,237.21245895896888
A&N Islands,2029,212.3436697515111
A&N Islands,2030,241.7021141536443
Andhra Pradesh,2023,172614.9964213913
Andhra Pradesh,2024,161551.13723406027
Andhra Pradesh,2025,171360.52640151928
Andhra Pradesh,2026,160033.98495091792
Andhra Pradesh,2027,171161.08972300077
Andhra Pradesh,2028,155520.90369765402
Andhra Pradesh,2029,168163.16140520055
Andhra Pradesh,2030,153836.8955611801
Arunachal Pradesh,2023,4011.318816228192
Arunachal Pradesh,2024,4556.884038217445
Arunachal Pradesh,2025,5482.155646698815
Arunachal Pradesh,2026,5280.294495651431
Arunachal Pradesh,2027,5177.430830744044
Arunachal Pradesh,2028,4985.024241692182
Arunachal Pradesh,2029,4875.205706070737
Arunachal Pradesh,2030,5111.085113747434
Assam,2023,53486.08149374166
Assam,2024,47022.57556505439
Assam,2025,42519.18190863617
Assam,2026,42188.620263982186
Assam,2027,40336.23117748617
Assam,2028,37588.28139847993
Assam,2029,36771.67477383971
Assam,2030,36122.639923300565
Bihar,2023,175748.1428663375
Bihar,2024,183865.79333850136
Bihar,2025,179065.7029785416
Bihar,2026,184789.48368694584
Bihar,2027,179215.68246134112
Bihar,2028,183733.56912798365
Bihar,2029,179740.70427293467
Bihar,2030,179769.27743162186
Chandigarh,2023,3401.82961131641
Chandigarh,2024,4230.2720272604765
Chandigarh,2025,4728.635449132387
Chandigarh,2026,5181.55273838485
Chandigarh,2027,5197.95363449015
Chandigarh,2028,5014.651909419028
Chandigarh,2029,4707.894651580345
Chandigarh,2030,4964.533014726565
Chhattisgarh,2023,83657.27407256023
Chhattisgarh,2024,96579.80545319081
Chhattisgarh,2025,102375.15873808257
Chhattisgarh,2026,103864.09026914054
Chhattisgarh,2027,98471.96290925617
Chhattisgarh,2028,88052.44494773628
Chhattisgarh,2029,80063.21926602627
Chhattisgarh,2030,76939.68078183911
D&N Haveli Daman & Diu,2023,1115.9048407879388
D&N Haveli Daman & Diu,2024,1396.9682735955405
D&N Haveli Daman & Diu,2025,1537.499161788312
D&N Haveli Daman & Diu,2026,1601.6609190619024
D&N Haveli Daman & Diu,2027,1423.1056141289857
D&N Haveli Daman & Diu,2028,1406.368523900004
D&N Haveli Daman & Diu,2029,1522.9735526018442
D&N Haveli Daman & Diu,2030,1403.4758721314531
Delhi,2023,266922.87915573124
Delhi,2024,220268.15203509832
Delhi,2025,164369.0221590161
Delhi,2026,142222.38841656485
Delhi,2027,135987.26977639933
Delhi,2028,133829.3790627881
Delhi,2029,128070.74008497605
Delhi,2030,121967.2411773565
Goa,2023,2969.0840756325147
Goa,2024,3710.5084198502996
Goa,2025,4389.492563438395
Goa,2026,5081.648237118136
Goa,2027,5474.72957358463
Goa,2028,5442.838830550562
Goa,2029,4606.5656566826565
Goa,2030,4191.646040901637
Gujarat,2023,131140.06387145573
Gujarat,2024,136195.7048215205
Gujarat,2025,146731.55342369823
Gujarat,2026,159398.52099695933
Gujarat,2027,178005.93607891756
Gujarat,2028,190402.23907602942
Gujarat,2029,203271.99352959605
Gujarat,2030,220894.52113293027
Haryana,2023,131590.69961095706
Haryana,2024,141427.73975735457
Haryana,2025,155087.71712492796
Haryana,2026,172336.1907715259
Haryana,2027,194768.7941106089
Haryana,2028,203278.73918891104
Haryana,2029,217391.8454702755
Haryana,2030,248014.5218621911
Himachal Pradesh,2023,14091.303755654551
Himachal Pradesh,2024,13594.992137125273
Himachal Pradesh,2025,13262.07292579714
Himachal Pradesh,2026,12320.05029465054
Himachal Pradesh,2027,7974.879719841065
Himachal Pradesh,2028,7315.512595017964
Himachal Pradesh,2029,7450.141998786338
Himachal Pradesh,2030,6906.456091295751
Jammu & Kashmir,2023,27205.852637546956
Jammu & Kashmir,2024,28381.46678267675
Jammu & Kashmir,2025,27397.001976834003
Jammu & Kashmir,2026,25413.639459750102
Jammu & Kashmir,2027,24001.92938524821
Jammu & Kashmir,2028,25824.107393288967
Jammu & Kashmir,2029,26568.98745875325
Jammu & Kashmir,2030,27268.51286511059
Jharkhand,2023,50062.54010132581
Jharkhand,2024,48525.99739542686
Jharkhand,2025,45578.88096461789
Jharkhand,2026,41456.49719052768
Jharkhand,2027,40818.749175399775
Jharkhand,2028,38995.552866679325
Jharkhand,2029,37633.15274426597
Jharkhand,2030,39425.26743492557
Karnataka,2023,122424.52184300021
Karnataka,2024,86101.46498658445
Karnataka,2025,83198.963893069
Karnataka,2026,80392.94371509257
Karnataka,2027,74606.16584850571
Karnataka,2028,71030.95812634248
Karnataka,2029,67952.73757798686
Karnataka,2030,66598.54150823606
Kerala,2023,182712.55923667026
Kerala,2024,185063.2670994975
Kerala,2025,190910.19327883207
Kerala,2026,197776.44910527632
Kerala,2027,209454.99971035283
Kerala,2028,220372.94195524364
Kerala,2029,255166.19682486658
Kerala,2030,254478.7470383084
Lakshadweep,2023,188.96443584032014
Lakshadweep,2024,127.22083590515294
Lakshadweep,2025,208.64899158853243
Lakshadweep,2026,155.80802945728166
Lakshadweep,2027,199.84107883565434
Lakshadweep,2028,137.65695762244712
Lakshadweep,2029,226.82559786164816
Lakshadweep,2030,125.23345883354455
Madhya Pradesh,2023,223847.004209176
Madhya Pradesh,2024,172845.08612089042
Madhya Pradesh,2025,156159.02750723006
Madhya Pradesh,2026,155569.1415242258
Madhya Pradesh,2027,158923.4520288398
Madhya Pradesh,2028,163218.76529532432
Madhya Pradesh,2029,188046.36659109642
Madhya Pradesh,2030,196426.59081481243
Maharashtra,2023,197892.7462449846
Maharashtra,2024,196694.36571602264
Maharashtra,2025,162946.53005881928
Maharashtra,2026,153845.88100140914
Maharashtra,2027,158735.91156912406
Maharashtra,2028,170795.16037794715
Maharashtra,2029,184790.714986163
Maharashtra,2030,198334.6628178972
Manipur,2023,3254.3771075124832
Manipur,2024,3917.106123879563
Manipur,2025,4547.300560155771
Manipur,2026,5259.070074220352
Manipur,2027,5535.461312942604
Manipur,2028,5053.834467956019
Manipur,2029,4704.804103554151
Manipur,2030,4453.078351536838
Meghalaya,2023,3309.8979834504908
Meghalaya,2024,3783.471579718123
Meghalaya,2025,4600.570040540392
Meghalaya,2026,4936.981317996527
Meghalaya,2027,5213.263151613256
Meghalaya,2028,4933.489834882507
Meghalaya,2029,4803.974735712609
Meghalaya,2030,4623.551680005892
Mizoram,2023,4922.663653640484
Mizoram,2024,5769.537917689488
Mizoram,2025,6318.820190891256
Mizoram,2026,8161.9393194990325
